participant_id	trial	trial_type	response_time	correct
	0	1	4.424394	0
	1	1	0.3807802	0
	2	1	0.9000692	0
	3	1	0.5848446	0
	4	1	0.6486893	0
	5	1	0.8839226	0
	6	1	4.417938	0
	8	1	2.400455	0
	9	1	0.6177788	0
	10	1	0.7165527	0
	11	1	3.200859	0
	12	1	1.452812	0
	13	1	0.4376144	0
	14	1	0.3834457	0
	15	1	0.8856583	0
	16	1	0.8326721	0
	17	1	1.50071	0
	18	1	0.8372116	0
	19	1	0.335907	0
	20	1	0.3841324	0
	21	1	3.931503	0
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
