participant_id	trial	trial_type	response_time	correct
	0	1	3.786266	0
	1	1	0.3685665	0
	2	1	3.017873	0
	3	1	0.3686123	0
	4	1	0.3165874	0
	5	1	0.9165382	0
	6	1	1.29978	0
	8	1	3.068478	0
	9	1	2.000744	0
	10	1	0.4662285	0
	11	1	2.536659	0
	12	1	1.747223	0
	13	1	0.6007538	0
	14	1	0.4472504	0
	15	1	7.516022	0
	16	1	1.033943	0
	17	1	2.149628	0
	18	1	2.300316	0
	19	1	0.7527618	0
	20	1	1.132942	0
	21	1	4.032982	0
	22	1	6.86808	0
	23	1	0.6837158	0
	24	1	1.68486	0
	25	1	1.520065	0
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN
